# Sample Referer File
http://beta.go.com/Split?pns=0&pat=go&svx=FYSTID&fys=0&qt=marketing+consulting+contracts&tid=16148&ru=0&qt_u=Marketing+consultants -> /
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/back.gif
http://search.msn.com/spbasic.htm?MT=constantin%20associates -> /
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/back.gif
http://www.batesbelk.com/ -> /icons/dir.gif
http://search.msn.com/spbasic.htm?MT=constantin%20associates -> /
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/dir.gif
http://www.batesbelk.com/ -> /icons/back.gif
http://search.msn.com/spbasic.htm?MT=new%20york%20it%20consulting -> /
http://www.batesbelk.com/ -> /
http://www.emailtools.com -> /feedback.htm
http://search.yahoo.com/search?p=marketing%2bconsulting&hc=18&hs=1710&b=3&h=s -> /
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/back.gif
http://www.batesbelk.com/ -> /icons/dir.gif
http://www.emailtools.com -> /feedback.htm
http://www.batesbelk.com/ -> /icons/back.gif
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/dir.gif
http://dir.yahoo.com/Regional/U_S__States/New_York/Metropolitan_Areas/New_York_Metro/Counties_and_Regions/New_York_City/Business_and_Shopping/Business_to_Business/Marketing_and_Advertising/ -> /
http://www.batesbelk.com/ -> /icons/blank.gif
http://www.batesbelk.com/ -> /icons/dir.gif
http://www.batesbelk.com/ -> /icons/back.gif
http://search.aol.com/dirsearch.adp?start=&layer=&query=www.belk.com -> /
http://www.batesbelk.com/ -> /stats/
http://www.batesbelk.com/stats/ -> /icons/compressed.gif
http://www.batesbelk.com/stats/ -> /icons/unknown.gif
http://www.batesbelk.com/stats/ -> /stats/agent_log
http://www.emailtools.com -> /feedback.htm
http://www.iaea.org -> /feedback.htm
http://www.iaea.org -> /feedback.htm
http://www.emailtools.com -> /feedback.htm
http://www.lycos.com/kclick/D=lycos/P=/C=odp/I=12/K=consultants/A=website/U=http%253A%252F%252Fwww%252Ebatesbelk%252Ecom -> /
